,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
143,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div,16,844,3953,446.566650390625,300.0,29,1,0,0,0,0,0,0,0,0
144,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div,17,834,4005,394.75,320.0,22,1,0,0,0,0,0,-10,0,-10
145,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div,18,834,4005,394.75,320.0,21,1,0,10,0,10,0,0,0,0
146,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,844,4005,168.75,300.0,4,9,0,0,0,0,0,0,0,0
147,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div,20,844,4005,168.75,300.0,3,1,0,0,0,0,0,0,0,0
148,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div,21,844,4005,168.75,300.0,2,1,0,0,168.75,0,0,0,0,0
149,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div/div,22,844,4005,168.75,300.0,1,1,0,0,0,0,0,0,0,0
150,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,844,4186,214.0,300.0,10,1,15,15,0,15,0,0,0,0
151,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[3]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,860,4201,120.0,270.0,6,2,0,0,0,0,0,0,0,0
152,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[3]/div/div/div/div/div/div[3]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,850,4321,79.0,290.0,2,1,15,0,20,0,0,-10,0,-10
153,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[],13,194,4420,466.566650390625,320.0,32,1,0,10,0,10,0,0,0,0
154,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div,14,204,4420,446.566650390625,300.0,31,8,0,0,0,0,0,0,0,0
155,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div,15,204,4420,446.566650390625,300.0,30,1,0,0,0,0,0,0,20,0
156,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div,16,204,4420,446.566650390625,300.0,29,1,0,0,0,0,0,0,0,0
157,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div,17,194,4472,394.75,320.0,22,1,0,0,0,0,0,-10,0,-10
158,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div,18,194,4472,394.75,320.0,21,1,0,10,0,10,0,0,0,0
159,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,204,4472,168.75,300.0,4,9,0,0,0,0,0,0,0,0
160,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div,20,204,4472,168.75,300.0,3,1,0,0,0,0,0,0,0,0
161,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div,21,204,4472,168.75,300.0,2,1,0,0,168.75,0,0,0,0,0
162,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div/div,22,204,4472,168.75,300.0,1,1,0,0,0,0,0,0,0,0
163,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,204,4652,214.0,300.0,10,1,15,15,0,15,0,0,0,0
164,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[3]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,220,4667,120.0,270.0,6,2,0,0,0,0,0,0,0,0
165,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[4]/div/div/div/div/div/div[3]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,210,4787,79.0,290.0,2,1,15,0,20,0,0,-10,0,-10
166,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[],13,514,4420,466.566650390625,320.0,32,1,0,10,0,10,0,0,0,0
167,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div,14,524,4420,446.566650390625,300.0,31,8,0,0,0,0,0,0,0,0
168,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div,15,524,4420,446.566650390625,300.0,30,1,0,0,0,0,0,0,20,0
169,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div,16,524,4420,446.566650390625,300.0,29,1,0,0,0,0,0,0,0,0
170,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div,17,514,4472,394.75,320.0,22,1,0,0,0,0,0,-10,0,-10
171,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div,18,514,4472,394.75,320.0,21,1,0,10,0,10,0,0,0,0
172,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div/div/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,524,4472,168.75,300.0,4,9,0,0,0,0,0,0,0,0
173,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div/div/div/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div,20,524,4472,168.75,300.0,3,1,0,0,0,0,0,0,0,0
174,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[5]/div/div/div/div/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div,21,524,4472,168.75,300.0,2,1,0,0,168.75,0,0,0,0,0
